2026-03-01 13:56:06,852 | INFO | Episode 90/8000 | Avg Reward: 15.03 | Avg Length: 550.10 | Avg Loss: 14.7194 | Avg Found Sources: 2.70 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.05, failure_done=-0.01
2026-03-01 13:56:44,969 | INFO | Episode 100/8000 | Avg Reward: 37.24 | Avg Length: 481.60 | Avg Loss: 30.8396 | Avg Found Sources: 2.70 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.12, failure_done=-0.01
2026-03-01 13:57:27,731 | INFO | Episode 110/8000 | Avg Reward: -2.57 | Avg Length: 543.60 | Avg Loss: 1.0018 | Avg Found Sources: 1.30 | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-01 13:58:07,512 | INFO | Episode 120/8000 | Avg Reward: 15.75 | Avg Length: 503.80 | Avg Loss: 0.6980 | Avg Found Sources: 1.40 | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-01 13:58:44,946 | INFO | Episode 130/8000 | Avg Reward: -6.26 | Avg Length: 474.70 | Avg Loss: 1.0141 | Avg Found Sources: 0.80 | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-01 13:59:29,004 | INFO | Episode 140/8000 | Avg Reward: -7.27 | Avg Length: 558.70 | Avg Loss: 1.3925 | Avg Found Sources: 1.50 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-01 14:00:10,766 | INFO | Episode 150/8000 | Avg Reward: 21.34 | Avg Length: 531.50 | Avg Loss: 98.5965 | Avg Found Sources: 2.60 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.08, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.36, failure_done=-0.01
2026-03-01 14:00:50,387 | INFO | Episode 160/8000 | Avg Reward: 22.41 | Avg Length: 507.50 | Avg Loss: 25.6662 | Avg Found Sources: 3.00 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.10, failure_done=-0.01
2026-03-01 14:01:25,083 | INFO | Episode 170/8000 | Avg Reward: 76.45 | Avg Length: 440.20 | Avg Loss: 248.0263 | Avg Found Sources: 3.20 | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.17, collision=-0.02, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=0.96, failure_done=-0.00
2026-03-01 14:02:03,378 | INFO | Episode 180/8000 | Avg Reward: 19.78 | Avg Length: 487.90 | Avg Loss: 8.2674 | Avg Found Sources: 1.40 | Success Rate: 10.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-01 14:02:42,676 | INFO | Episode 190/8000 | Avg Reward: 16.72 | Avg Length: 503.90 | Avg Loss: 0.7794 | Avg Found Sources: 1.50 | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-01 14:03:26,725 | INFO | Episode 200/8000 | Avg Reward: 28.94 | Avg Length: 559.20 | Avg Loss: 8.2247 | Avg Found Sources: 2.50 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
