episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
141,60.252878,689,2.559483,6,8,0.750000,0,1,-0.000290,-0.055152,0.108044,0.002482,-0.007257,0.043541,-0.003919,0.000000
142,77.932307,690,3.080736,5,6,0.833333,0,1,-0.000290,-0.097464,0.184558,0.001394,-0.007246,0.036232,-0.004239,0.000000
143,31.982561,688,1.766437,6,7,0.857143,0,1,-0.000291,0.000000,0.008590,0.003593,-0.007267,0.043605,-0.001744,0.000000
144,124.794871,11,2477.227753,1,1,1.000000,1,1,-0.000303,0.000000,0.000004,-0.018348,0.000000,0.454545,0.000000,10.909091
145,-55.086654,688,2.665508,4,8,0.500000,0,1,-0.000291,-0.073038,0.043991,0.001160,-0.007267,0.029070,-0.073692,0.000000
146,71.398021,689,2.499669,6,7,0.857143,0,1,-0.000290,-0.007983,0.076085,0.000944,-0.007257,0.043541,-0.001415,0.000000
147,122.761935,568,51.700790,1,1,1.000000,1,1,-0.000296,-0.011884,0.009567,-0.001328,0.000000,0.008803,0.000000,0.211268
148,-44.529716,687,3.370452,5,6,0.833333,0,1,-0.000291,-0.097162,0.004928,0.001379,-0.007278,0.036390,-0.002784,0.000000
149,125.048326,26,1091.083538,1,1,1.000000,1,1,-0.000298,0.000000,0.000000,0.002157,0.000000,0.192308,0.000000,4.615385
150,28.319501,688,1.168384,5,7,0.714286,0,1,-0.000291,0.000000,0.014605,0.000885,-0.007267,0.036337,-0.003107,0.000000
151,144.390062,620,51.182717,6,6,1.000000,1,1,-0.000296,-0.018145,0.011917,0.001347,0.000000,0.048387,-0.003871,0.193548
152,-248.006618,688,8.728663,2,3,0.666667,0,1,-0.000291,-0.377544,0.019088,0.001197,-0.007267,0.014535,-0.010193,0.000000
153,21.488946,689,2.054998,5,6,0.833333,0,1,-0.000290,0.000000,0.005128,-0.000826,-0.007257,0.036284,-0.001851,0.000000
154,31.347210,688,1.510532,5,6,0.833333,0,1,-0.000291,0.000000,0.017104,0.000770,-0.007267,0.036337,-0.001090,0.000000
155,79.229167,688,2.039184,5,8,0.625000,0,1,-0.000291,-0.034157,0.124678,0.000927,-0.007267,0.036337,-0.005069,0.000000
156,-37.621199,686,2.665766,4,5,0.800000,0,1,-0.000292,-0.101312,0.027119,0.001166,-0.007289,0.029155,-0.003389,0.000000
157,118.976178,16,1785.620255,1,1,1.000000,1,1,-0.000296,-0.437500,0.015023,0.046284,0.000000,0.312500,0.000000,7.500000
158,58.307232,685,2.041236,4,5,0.800000,0,1,-0.000292,-0.008394,0.085641,-0.001087,-0.007299,0.029197,-0.012646,0.000000
159,63.342951,684,1.246214,3,5,0.600000,0,1,-0.000292,-0.003289,0.096663,0.000092,-0.007310,0.021930,-0.015186,0.000000
160,153.187793,413,71.033423,4,4,1.000000,1,1,-0.000296,0.000000,0.032620,0.001786,0.000000,0.048426,-0.002179,0.290557
161,9.591181,684,1.004741,2,5,0.400000,0,1,-0.000292,-0.024854,0.034899,-0.000683,-0.007310,0.014620,-0.002357,0.000000
162,9.593360,684,1.468701,4,7,0.571429,0,1,-0.000292,-0.010965,0.018536,0.000387,-0.007310,0.029240,-0.015570,0.000000
163,-84.341462,685,3.129718,4,6,0.666667,0,1,-0.000292,-0.148540,0.004563,0.001216,-0.007299,0.029197,-0.001971,0.000000
164,53.258804,686,1.800520,6,7,0.857143,0,1,-0.000292,0.000000,0.043098,0.002869,-0.007289,0.043732,-0.004483,0.000000
