episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
117,-23.056262,1000,2.345489,5,8,0.625000,0,1,-0.000297,-0.063750,0.020033,-0.000030,0.000000,0.025000,-0.004013,0.000000
118,-113.386443,1000,1.914920,0,1,0.000000,0,0,-0.000291,-0.112000,0.000000,-0.001096,0.000000,0.000000,0.000000,0.000000
119,2.664161,1000,0.362366,0,2,0.000000,0,0,-0.000295,-0.006500,0.010289,-0.000830,0.000000,0.000000,0.000000,0.000000
120,49.472071,1000,2.400453,2,7,0.285714,0,1,-0.000290,-0.004750,0.055040,-0.000703,0.000000,0.010000,-0.009825,0.000000
121,26.513692,1000,0.313842,1,2,0.500000,0,1,-0.000294,-0.001250,0.024686,0.000360,0.000000,0.005000,-0.001988,0.000000
122,-41.036632,1000,1.821642,1,2,0.500000,0,1,-0.000292,-0.124250,0.078651,-0.000108,0.000000,0.005000,-0.000037,0.000000
123,23.650209,1000,0.666566,3,4,0.750000,0,1,-0.000295,0.000000,0.007997,0.001436,0.000000,0.015000,-0.000487,0.000000
124,35.465695,1000,1.231583,6,7,0.857143,0,1,-0.000294,0.000000,0.006706,0.000816,0.000000,0.030000,-0.001763,0.000000
125,-97.946695,1000,2.297942,0,2,0.000000,0,0,-0.000291,-0.159500,0.062378,-0.000534,0.000000,0.000000,0.000000,0.000000
126,4.745676,1000,0.612650,2,5,0.400000,0,1,-0.000295,-0.013250,0.009815,0.000425,0.000000,0.010000,-0.001950,0.000000
127,0.706223,1000,0.250187,1,2,0.500000,0,1,-0.000295,-0.013250,0.009859,-0.000533,0.000000,0.005000,-0.000075,0.000000
128,42.795238,1000,0.564288,2,8,0.250000,0,1,-0.000293,-0.010000,0.043864,-0.000176,0.000000,0.010000,-0.000600,0.000000
129,47.442810,1000,1.431484,3,6,0.500000,0,1,-0.000291,-0.035750,0.068844,0.000165,0.000000,0.015000,-0.000525,0.000000
130,123.311887,23,1240.256454,1,1,1.000000,1,1,-0.000298,-0.108696,0.004755,0.030842,0.000000,0.217391,0.000000,5.217391
131,-0.827530,1000,0.356280,0,3,0.000000,0,0,-0.000292,0.000000,0.000004,-0.000540,0.000000,0.000000,0.000000,0.000000
132,2.232587,1000,0.179421,0,3,0.000000,0,0,-0.000291,0.000000,0.003323,-0.000800,0.000000,0.000000,0.000000,0.000000
133,5.027459,1000,0.126176,0,1,0.000000,0,0,-0.000291,0.000000,0.005358,-0.000040,0.000000,0.000000,0.000000,0.000000
134,36.459141,524,60.928175,4,4,1.000000,1,1,-0.000290,-0.192271,0.012947,0.001197,0.000000,0.038168,-0.019179,0.229008
135,44.781321,1000,0.703924,2,4,0.500000,0,1,-0.000292,0.000000,0.036469,-0.001021,0.000000,0.010000,-0.000375,0.000000
136,5.221527,1000,0.537148,2,3,0.666667,0,1,-0.000292,-0.000750,0.005966,0.000010,0.000000,0.010000,-0.009712,0.000000
137,-13.639331,1000,0.433245,1,2,0.500000,0,1,-0.000291,-0.018000,0.001068,-0.001341,0.000000,0.005000,-0.000075,0.000000
138,-300.085279,1000,7.830161,2,6,0.333333,0,1,-0.000290,-0.302750,0.016195,0.000198,0.000000,0.010000,-0.023438,0.000000
